"","Mast Cells","Neutrophil Cells","Eosinophil Cells","B Cells Memory","B Cells Naive","Plasma Cells","T Cells CD8 Actived","T Cells CD8 Naive","T Cells CD8 Memory","M0 Macrophage","M1 Macrophage","M2 Macrophage","Treg Cells","T Cells CD4 Memory","T Cells CD4 Naive","T Cells CD4 Follicular","Th1 Cells","Th17 Cells","Th2 Cells","Monocyte","GammaDelta T Cells","NK Resting","NK Actived","DC Actived","DC Immature"
"GSM1576471_S0649F0003.CEL.gz",0,0,0,0,15.2905950500625,35.2900420436649,4.93855934547214,4.91950763330693,0,0,5.67997747467415,0,3.10967554816967,19.8505650277607,0,0,0,1.84285506990143,0,0.46520613009337,8.08097160783658,0.532045069057674,0,0,0
"GSM1576472_S0790F0004.CEL.gz",0,2.15703800702047,0,0,0,18.9418123534361,5.00432980399173,14.6016345945277,0,0,19.1605620955005,0,8.74574134783172,12.6185173893475,2.94046994549644,0,0,0,0,0,14.9541414022336,0,0.875753060614303,0,0
"GSM1576473_S0790F0005.CEL.gz",0,0.976782178422626,0,0,5.60011353828743,33.8724369191973,5.61912540662856,10.2701142347587,0,0,9.41815253595818,0,6.57568985131366,14.6950193294057,0.229367014982205,0,0,0,0,0.0300661025448085,12.4249447873649,0.288188101135919,0,0,0
"GSM1576474_S0790F0008.CEL.gz",0,1.49914113062797,0,0.75244941488731,0,17.4158255017962,5.27125831507079,14.7755948527202,0,0,14.652208931408,0,9.44593615950413,14.3890813267185,4.32548775718951,0,0,0,0,0.361382212635124,16.5159969606244,0.595637436817783,0,0,0
"GSM1576475_S0649F0005a.CEL.gz",0.271209939617361,2.75037304437567,0,0,2.7177285975395,29.6740844827882,5.88278282663164,12.2291117715651,0,0.737853153374703,12.5215749318039,0,7.12842449984538,4.20651695611614,0,0,0,2.55403802514573,0,0,3.53247598516901,0,6.46842691541741,9.32539887061022,0
"GSM1576476_S0649F0007.CEL.gz",0,4.59546473152352,0,0,8.97594515410836,35.6244619266006,5.31074946670189,8.8360564102896,0,0,10.6270401282242,0,5.19769413539194,8.16384296029804,0,0,0,0.249185371072041,0,0,4.72401475113152,0,2.86490623379987,4.83063873085844,0
"GSM1576477_S0649F0010.CEL.gz",0.0188871293206232,2.40795905684006,0,0,3.91712590273598,30.630683601369,4.58651957634376,11.1426146892467,0,0.776214741094942,9.49792403181042,0,6.64777619926242,5.79824169567864,0,0,0,3.20441470095606,0,0,2.16677651893969,0,6.48054610121281,12.7243160551889,0
"GSM1576478_S0790F0001.CEL.gz",0,3.41834828444886,0,0,5.18237071015897,27.1187286059706,8.44370577001334,11.1198531961721,0,0,10.3523676124228,0,8.01635610674119,7.79496347464582,0,0,0,0,0,0,6.13073444831408,0,2.34732971980561,10.0752420713066,0
"GSM1576479_S0790F0006.CEL.gz",0,4.91310606409716,0,0,0,28.8618057380629,8.54610356891543,11.4185654470845,0,3.3476910234494,6.8677052503817,0,8.77161038173546,7.14180954029906,0,0,0,0,0,0,6.29316411634967,0,0.641262629890192,13.1971762397346,0
"GSM1576480_S0790F0012.CEL.gz",0,4.87135826889251,0,0,0,17.342743884916,8.016982299081,13.1245380579653,0,1.78234349899418,9.05805398833231,0,10.2194668025209,4.01749543004794,0,1.6329862395517,0,0.175885466174039,0,0,3.77288866952559,0,6.75442944509655,19.230827948902,0
